CTRPGM CTRSAN
 80.001
 80.220
 83.000
 83.150
 83.190
 83.206
 83.220
 83.222
 83.224
 83.226
 83.228
ABCDEFGH 98.765
ABU 1
ABU 2
ABU 3
ABU 10
ABU 11
ABU 12
ADRESSE 1
ADRESSE 2
ARCHIV 0
ARCHIV 1
ARCHIV 2
ARCHIV 3
ARCHIV 5
ARCHIV 10
ARCHIV 11
ARCHIV 12
ARCHIV 20
ARCHIV 21
ARCHIV 22
ARCHIV 30
ARCHIV 31
ARCHIV 32
ARCHIV 40
ARCHIV 41
ARCHIV 42
ARCHIV 50
ARCHIV 51
ARCHIV 52
ARCHIV 53
ARCHIV 60
ARCHIV 65
ARCHIV 70
ARCHIV 71
ARCHIV 80
ARCHIV 200
ARCHIV 201
ARCHIV 202
ARCHIV 203
ARCHIV 204
ARCHIV 300
ARCHIV 400
ARCHIV 60.001
ARCHIV 60.002
ARCHIV 60.003
ARCHIV 70.001
ARCHIV 70.002
ARCHIV 70.010
ARCHIV 70.900
ARCHIV 70.901
ARCHIVD3 2
ARCHIVD3 3
ARCHIVD3 5
ARCHIVD3 10
ARCHIVD3 11
ARCHIVD3 12
ARCHIVD3 20
AREPORT 100
AREPORT 101
AREPORT 102
AREPORT 200
AREPORT 201
AREPORT 202
AREPORT 203
AREPORT 204
AREPORT 205
AREPORT 300
AREPORT 1.000
AREPORT 2.000
AREPORT 2.001
AREPORT 2.002
AREPORT 2.003
AREPORT 2.004
AREPORT 2.005
AREPORT 2.006
AREPORT 2.007
AREPORT 2.008
AREPORT 15.000
AREPORT 15.001
AREPORT 15.002
AREPORT 16.000
AREPORT 16.001
AREPORT 16.002
AREPORT 16.003
AREPORT 16.004
AREPORT 16.005
AREPORT 16.006
ARS 1
ARS 101
ARS 102
AUSBUCH 10
AUSGL 10
AUSGL 20
AUTODAT 100
AUTODAT 200
AUTODAT 300
AUTODAT 500
AUTODAT 501
AUTODAT 515
AUTODAT 516
AUTODAT 517
AUTODAT 518
AZ 1
AZ 20
AZ 22
AZ 30
AZ 50
AZ 51
AZ 52
AZ 54
AZ 55
AZ 56
AZ 57
AZ 58
AZ 59
AZ 60
AZ 61
AZ 90
AZ 91
AZ 92
AZ 93
AZ 100
AZ 101
AZ 1.000
AZ 1.001
AZ 1.002
AZ 1.101
AZ 2.000
AZ 2.002
AZ 2.005
AZ 2.010
AZ 2.101
AZ 5.000
AZSTBV 100
B�RGSCHA 1
B�RGSCHA 2
B�RGSCHA 3
B�RGSCHA 4
B�RGSCHA 5
B�RGSCHA 10
B�RGSCHA 12
B�RGSCHA 13
B�RGSCHA 14
B�RGSCHA 98
B�RGSCHA 99
B�RGSCHA 100
B�RGSCHA 101
BARCODE 2
BARCODE 3
BARCODE 4
BARCODE 5
BARCODE 10
BARCODE 100
BARCODE 120
BARCODE 200
BAUABZ 100
BAUABZ 200
BAUABZ 1.000
BAUABZ 1.010
BAUABZ 1.020
BEREICH 1
BIGUV 4
BIGUV 5
BIGUV 6
BIGUV 7
BIGUV 9
BIGUV 10
BIGUV 17
BIGUV 18
BIGUV 20
BIGUV 21
BIGUV 22
BIGUV 24
BIGUV 25
BIGUV 40
BIGUV 50
BIGUV 110
BIGUV 120
BIGUV 121
BIGUV 201
BIGUV 202
BIGUV 203
BIGUV 999
BIGUV 1.000
BIGUV 1.001
BIGUV 1.002
BIGUV 1.003
BIGUVMIS 90.000
BILANTKZ 0
BILANZKZ 5.600
BILANZKZ 8.400
BILANZKZ 8.409
BILANZKZ 8.410
BILANZKZ 8.411
BILLBOOK 1
BILLBOOK 2
BRENR 1
BRENRA 1
BRENRE 1
BRENRG 1
BUCHEN 1
BUCHEN 10
BUCHEN 20
BUCHEN 21
BUCHEN 25
BUCHEN 26
BUCHEN 30
BUCHEN 35
BUCHEN 40
BUCHEN 45
BUCHEN 46
BUCHEN 60
BUCHEN 64
BUCHEN 69
BUCHEN 70
BUCHEN 71
BUCHEN 83
BUCHEN 100
BUCHEN 110
BUCHEN 120
BUCHEN 130
BUCHEN 200
BUCHEN 210
BUCHEN 220
BUCHEN 230
BUCHEN 330
BUCHEN 331
BUCHEN 340
BUCHEN 341
BUCHEN 400
BUCHEN 401
BUCHEN 410
BUCHEN 500
BUCHEN 510
BUCHEN 520
BUCHEN 530
BUCHEN 540
BUCHEN 545
BUCHEN 560
BUCHEN 570
BUCHEN 580
BUCHEN 590
BUCHEN 595
BUCHEN 800
BUCHEN 801
BUCHEN 811
BUCHEN 812
BUCHEN 814
BUCHEN 999
BUCHEN 1.000
BUCHEN 1.001
BUCHEN 1.003
BUCHEN 1.004
BUCHEN 1.005
BUCHEN 1.006
BUCHEN 1.007
BUCHEN 1.008
BUCHEN 1.009
BUCHEN 1.010
BUCHEN 1.011
BUCHEN 1.013
BUCHEN 1.014
BUCHEN 1.016
BUCHEN 1.017
BUCHEN 1.018
BUCHEN 1.019
BUCHEN 1.020
BUCHEN 1.021
BUCHEN 1.050
BUCHEN 1.120
BUCHEN 1.121
BUCHEN 1.199
BUCHEN 1.200
BUCHEN 1.201
BUCHEN 2.000
BUCHEN 2.001
BUCHEN 2.002
BUCHEN 2.003
BUCHEN 2.004
BUCHEN 2.005
BUCHEN 2.006
BUCHEN 2.007
BUCHEN 2.008
BUCHEN 2.009
BUCHEN 2.010
BUCHEN 2.011
BUCHEN 2.012
BUCHEN 2.013
BUCHEN 2.014
BUCHEN 2.015
BUCHEN 2.016
BUCHEN 2.017
BUCHEN 2.018
BUCHEN 2.019
BUCHEN 2.021
BUCHEN 2.026
BUCHEN 2.028
BUCHEN 2.050
BUCHEN 2.080
BUCHEN 2.100
BUCHEN 2.120
BUCHEN 2.121
BUCHEN 2.199
BUCHEN 2.200
BUCHEN 2.201
BUCHEN 2.202
BUCHEN 3.000
BUCHEN 3.003
BUCHEN 3.004
BUCHEN 3.006
BUCHEN 3.007
BUCHEN 3.008
BUCHEN 3.010
BUCHEN 3.012
BUCHEN 3.014
BUCHEN 3.016
BUCHEN 3.018
BUCHEN 3.019
BUCHEN 3.020
BUCHEN 3.021
BUCHEN 3.026
BUCHEN 3.050
BUCHEN 3.100
BUCHEN 3.120
BUCHEN 3.121
BUCHEN 3.122
BUCHEN 3.199
BUCHEN 3.200
BUCHEN 3.202
BUCHEN 3.308
BUCHEN 3.310
BUCHEN 3.311
BUCHEN 3.312
BUCHEN 3.397
BUCHEN 3.398
BUCHEN 3.399
BUCHEN 3.400
BUCHEN 3.401
BUCHEN 3.402
BUCHEN 3.403
BUCHEN 3.800
BUCHEN 3.811
BUCHEN 3.850
BUCHEN 3.900
BUCHEN 3.902
BUCHEN 3.904
BUCHEN 3.906
BUCHEN 3.908
BUCHEN 3.910
BUCHEN 3.912
BUCHEN 3.914
BUCHEN 3.916
BUCHEN 4.004
BUCHEN 4.005
BUCHEN 4.006
BUCHEN 4.008
BUCHEN 4.010
BUCHEN 4.012
BUCHEN 4.014
BUCHEN 4.016
BUCHEN 4.018
BUCHEN 4.019
BUCHEN 4.020
BUCHEN 4.021
BUCHEN 4.100
BUCHEN 4.110
BUCHEN 4.111
BUCHEN 4.121
BUCHEN 4.199
BUCHEN 4.200
BUCHEN 4.514
BUCHEN 4.515
BUCHEN 5.002
BUCHEN 5.004
BUCHEN 5.006
BUCHEN 5.008
BUCHEN 5.010
BUCHEN 5.012
BUCHEN 5.014
BUCHEN 5.016
BUCHEN 5.018
BUCHEN 5.020
BUCHEN 5.022
BUCHEN 5.024
BUCHEN 5.100
BUCHEN 5.199
BUCHEN 5.200
BUCHEN 5.201
BUCHEN 6.000
BUCHEN 6.001
BUCHEN 6.002
BUCHEN 6.003
BUCHEN 6.004
BUCHEN 6.005
BUCHEN 6.006
BUCHEN 7.000
BUCHEN 7.001
BUCHEN 7.002
BUCHEN 7.003
BUCHEN 7.004
BUCHEN 7.009
BUCHEN 7.500
BUCHEN 7.510
BUCHEN 8.500
BUCHEN 8.501
BUCHEN 8.502
BUCHEN 8.600
BUCHEN 9.000
BUCHEN 9.500
BUCHEN 10.000
BUCHEN 10.002
BUCHEN 10.006
BUCHEN 10.008
BUCHEN 10.009
BUCHEN 10.010
BUCHEN 10.012
BUCHEN 10.020
BUCHEN 10.022
BUCHEN 10.024
BUCHEN 10.030
BUCHEN 10.032
BUCHEN 10.040
BUCHEN 10.042
BUCHEN 10.048
BUCHEN 10.050
BUCHEN 10.052
BUCHEN 10.070
BUCHEN 10.072
BUCHEN 10.080
BUCHEN 10.082
BUCHEN 10.084
BUCHEN 10.088
BUCHEN 10.090
BUCHEN 10.092
BUCHEN 10.110
BUCHEN 10.170
BUCHEN 10.172
BUCHEN 10.180
BUCHEN 10.190
BUCHEN 10.200
BUCHEN 10.201
BUCHEN 10.202
BUCHEN 10.210
BUCHEN 10.211
BUCHEN 10.212
BUCHEN 10.220
BUCHEN 10.221
BUCHEN 10.222
BUCHEN 10.230
BUCHEN 10.231
BUCHEN 10.232
BUCHEN 10.240
BUCHEN 10.241
BUCHEN 10.242
BUCHEN 10.250
BUCHEN 10.251
BUCHEN 10.252
BUCHEN 10.400
BUCHEN 10.401
BUCHEN 10.404
BUCHEN 10.500
BUCHEN 10.501
BUCHEN 10.502
BUCHEN 10.503
BUCHEN 11.000
BUCHEN 20.001
BUCHEN 20.002
BUCHEN 20.003
BUCHEN 20.004
BUCHEN 20.005
BUCHEN 30.000
BUCHEN 30.011
BUCHEN 32.000
BUCHEN 32.002
BUCHEN 32.004
BUCHEN 40.000
BUCHEN 40.001
BUCHEN 40.002
BUCHEN 40.100
BUCHEN 50.000
BUCHEN 61.000
BUCHEN 61.011
BUCHEN 62.000
BUCHEN 62.011
BUCHEN 90.002
BUCHEN 90.003
BUCHEN 90.004
BUCHEN 90.005
CASHCON 100
CASHCON 101
CASHCON 102
CASHCON 103
CASHCON 104
CASHCON 105
CASHCON 106
CASHCON 107
CASHCON 108
CASHCON 109
CASHCON 110
CASHCON 111
CASHCON 112
CASHCON 120
CASHCON 121
CASHCON 130
CASHCON 10.000
CASHCON 10.001
CASHCON 10.002
CASHCON 10.003
CASHCON 10.010
CASHCON 10.011
CASHCON 10.012
CASHCON 10.013
CASHCON 20.000
CASHCON 20.001
CASHCON 20.002
CASHCON 50.000
CASHCON 59.901
CASHCON 59.902
CASHCON 59.903
CASHCON 59.904
CASHCON 59.905
CASHCON 59.906
CASHCON 59.907
CASHCON 59.908
CASHCON 59.909
CASHCON 59.910
CASHCON 60.000
CASHCON 60.001
CASHCON 60.002
CASHCON 60.003
CASHCON 60.004
CASHCON 60.005
CASHCON 60.006
CASHCON 60.007
CASHCON 60.008
CASHCON 60.009
CASHCON 60.010
CASHCON 60.011
CASHCON 60.012
CASHCON 60.100
CASHCON 60.200
CASHCON 60.201
CASHCON 60.205
CASHCON 60.210
CASHCON 60.211
CASHCON 60.212
CASHCON 60.213
CASHCON 60.300
CASHCON 70.001
CASHCON 70.002
CASHCON 70.003
CASHCON 80.000
CASHCON 80.001
CASHCON 90.000
CLEAR 100
CLEAR 101
CLEAR 102
CLEAR 103
CLEAR 104
CLEAR 105
CLEAR 106
CLEAR 107
CLEAR 200
CLEAR 201
CLEAR 300
CLEAR 301
CLEAR 302
CLEAR 303
CLEAR 304
CLEAR 305
CLEAR 306
DATEV 0
DATEV 1
DATEV 2
DATEV 3
DATEV_LG 1
DATEV_LG 10
DATEV_LG 12
DATEV_LG 14
DBUCH 1
DS 1
DS 2
DS 3
DS 4
DS 5
DS 6
DS 7
DS 8
DS 9
DS 10
DS 11
DS 12
DSFB4405 1
DSFB4405 2
DSFB4405 3
DSFB4405 4
DSFB4405 5
DSFB4405 6
DSFB4405 7
DSFB4405 8
DSFB4405 9
DSFB4405 10
DSFB4405 11
DSFB4405 12
DTA000P 1
DTA000P 2
DTA000P 3
DTA000P 4
DTV019 1
EFIBSCH 12.001
EFIBSCH 12.002
EFIBSCH 12.003
EFIBSCH 12.010
EFIBSCH 13.001
EFIBSCH 13.002
EFIBSCH 13.010
EFIBSCH 13.100
EFIBSCH 14.001
EFIBSCH 14.002
EFIBSCH 14.010
EFIBSCH 15.001
EFIBSCH 15.002
EFIBSCH 15.010
EFIBSCH 16.001
EFIBSCH 16.002
EFIBSCH 16.010
EFIBSCH 17.001
EFIBSCH 17.010
EFIBSCH 18.001
EFIBSCH 18.010
EFIBSCH 19.001
EFIBSCH 19.002
EFIBSCH 19.010
EFIBSCH 21.001
EFIBSCH 21.002
EFIBSCH 21.010
EFIBSCH 22.001
EFIBSCH 22.002
EFIBSCH 22.010
EFIBSCH 23.001
EFIBSCH 23.002
EFIBSCH 23.010
EFIBSCH 24.001
EFIBSCH 24.010
EFIBSCH 25.001
